Country or region,Region,Happiness Score,Economy (GDP per capita),Social support,Health (life expectancy),Freedom to make life choices,Generosity,Perceptions of corruption,Age Life,"Suicide rate (100,000)"
Afghanistan,Southern Asia,3.203,0.35,0.517,0.361,0,0.158,0.025,64.833,1747
Albania,Central and Eastern Europe,4.719,0.947,0.848,0.874,0.383,0.178,0.027,78.573,182
Algeria,Middle East and Northern Africa,5.211,1.002,1.16,0.785,0.086,0.073,0.114,76.88,1351
Angola,Sub-Saharan Africa,3.795,0.73,1.125,0.269,0,0.079,0.061,61.147,1448
Argentina,Latin America and Caribbean,6.086,1.092,1.432,0.881,0.471,0.066,0.05,76.667,4081
Armenia,Central and Eastern Europe,4.559,0.85,1.055,0.815,0.283,0.095,0.064,75.087,195
Australia,Australia and New Zealand,7.228,1.372,1.548,1.036,0.557,0.332,0.29,83.436,3287
Austria,Western Europe,7.246,1.376,1.475,1.016,0.532,0.244,0.226,81.544,1387
Azerbaijan,Central and Eastern Europe,5.208,1.043,1.147,0.769,0.351,0.035,0.182,73.005,259
Bahrain,Middle East and Northern Africa,6.199,1.362,1.368,0.871,0.536,0.255,0.11,77.292,93
Bangladesh,Southern Asia,4.456,0.562,0.928,0.723,0.527,0.166,0.143,72.591,9521
Belarus,Central and Eastern Europe,5.323,1.067,1.465,0.789,0.235,0.094,0.142,74.791,2477
Belgium,Western Europe,6.923,1.356,1.504,0.986,0.473,0.16,0.21,81.628,2377
Benin,Latin America and Caribbean,4.883,0.393,0.437,0.397,0.349,0.175,0.082,61.771,1137
Bhutan,Sub-Saharan Africa,5.082,0.813,1.321,0.604,0.457,0.37,0.167,71.777,86
Bolivia,Southern Asia,5.779,0.776,1.209,0.706,0.511,0.137,0.064,71.513,0
Bosnia and Herzegovina,Latin America and Caribbean,5.386,0.945,1.212,0.845,0.212,0.263,0.006,77.401,293
Botswana,Central and Eastern Europe,3.488,1.041,1.145,0.538,0.455,0.025,0.1,69.592,210
